token,pos,frequency
少年,名詞,276
落ちる,動詞,275
様子,名詞,275
会,名詞,274
相手,名詞,274
において,助詞,273
好き,名詞,273
自由,名詞,273
学校,名詞,272
美,名詞,272
必ず,副詞,272
作家,名詞,272
至る,動詞,272
餌,名詞,272
そういう,連体詞,271
尺,名詞,271
これから,副詞,270
二つ,名詞,269
肉,名詞,268
それでも,接続詞,268
話す,動詞,268
立派,名詞,268
飛ぶ,動詞,267
語る,動詞,267
宿,名詞,266
暗い,形容詞,266
里,名詞,265
於く,動詞,265
眞,名詞,264
あまり,副詞,264
離れる,動詞,263
文,名詞,261
涙,名詞,261
開く,動詞,261
べ,助詞,260
もし,副詞,260
申,名詞,260
ごとし,助動詞,259
食う,動詞,258
咲く,動詞,257
なかなか,副詞,257
不,接頭詞,257
ごと,名詞,256
覚える,動詞,255
寒い,形容詞,253
森,名詞,253
今度,名詞,253
電車,名詞,253
変る,動詞,253
同時に,副詞,253
街,名詞,253
夫,名詞,253
通,名詞,253
彼ら,名詞,252
信じる,動詞,252
樹,名詞,251
たつ,動詞,251
鳥,名詞,250
客,名詞,250
なんて,助詞,250
汽車,名詞,250
まつ,動詞,250
やら,助詞,249
や,助動詞,249
旅行,名詞,249
舟,名詞,249
駅,名詞,249
つくる,動詞,247
知,名詞,247
相,接頭詞,247
影,名詞,247
すると,接続詞,246
毎日,名詞,246
残る,動詞,246
為,名詞,245
込む,動詞,245
しめる,動詞,245
描く,動詞,244
吹く,動詞,243
切る,動詞,243
作,名詞,242
釣る,動詞,241
ちょっと,副詞,241
天,名詞,240
かう,動詞,240
おれ,名詞,240
くい,形容詞,240
もらう,動詞,240
困る,動詞,239
自己,名詞,239
そのまま,副詞,238
愛,名詞,238
精神,名詞,238
お母さん,名詞,237
左,名詞,237
いたす,動詞,237
再び,副詞,236
古い,形容詞,235
まず,副詞,235
分る,動詞,235
当時,名詞,235
うまい,形容詞,235
なんか,助詞,234
いよいよ,副詞,234
何処,名詞,233
旅,名詞,232
室,名詞,232
表,名詞,231
そ,名詞,231
雑誌,名詞,231
はじめ,名詞,231
わし,名詞,231
す,接頭詞,231
岩,名詞,230
ぜ,助詞,230
記憶,名詞,229
裏,名詞,229
松,名詞,229
犬,名詞,228
喜ぶ,動詞,227
住む,動詞,227
殺す,動詞,227
多く,名詞,227
折,名詞,227
つと,副詞,226
同,接頭詞,226
