token,pos,frequency
教訓,名詞,20
そのまま,副詞,20
ども,名詞,20
ちゃ,助詞,20
了,名詞,20
尽す,動詞,20
万,名詞,20
呉,名詞,20
通,名詞,20
苦痛,名詞,20
伝える,動詞,20
こっち,名詞,20
露,名詞,20
かえって,副詞,20
木村,名詞,20
こそ,助詞,20
引く,動詞,20
動かす,動詞,20
比較的,副詞,20
ど,接頭詞,20
どうして,副詞,20
要するに,副詞,20
真似,名詞,20
経験,名詞,20
述べる,動詞,20
寸,名詞,20
文字,名詞,20
文學,名詞,20
雨,名詞,20
解る,動詞,20
似る,動詞,20
種,名詞,20
思い出す,動詞,20
場,名詞,19
真面目,名詞,19
其の,連体詞,19
含む,動詞,19
供,名詞,19
せき,名詞,19
参考,名詞,19
ついで,名詞,19
幸福,名詞,19
いち,名詞,19
あらゆる,連体詞,19
だいぶ,副詞,19
しめる,動詞,19
即ち,接続詞,19
勝手,名詞,19
裏,名詞,19
道義,名詞,19
名前,名詞,19
くし,名詞,19
くい,形容詞,19
何処,名詞,19
故,接頭詞,19
首,名詞,19
だから,接続詞,19
念,名詞,19
源,名詞,19
ゆう,動詞,19
院,名詞,19
朝日新聞,名詞,19
または,接続詞,19
即ち,副詞,19
衰弱,名詞,19
纏,名詞,19
人格,名詞,19
黒い,形容詞,19
晩,名詞,19
切,名詞,19
もん,名詞,19
にくい,形容詞,19
同様,名詞,19
平生,名詞,19
残る,動詞,19
能,名詞,19
池,名詞,19
きょう,名詞,19
立派,名詞,19
知識,名詞,19
さい,名詞,19
思える,動詞,19
全然,副詞,19
うそ,名詞,19
医者,名詞,19
京都,名詞,19
道楽,名詞,19
大,名詞,19
許す,動詞,19
映る,動詞,19
及ぶ,動詞,19
じん,名詞,19
子供,名詞,19
書ける,動詞,19
漱石,名詞,19
戦争,名詞,19
ちょうど,副詞,18
意,名詞,18
んで,助詞,18
とう,副詞,18
婦,名詞,18
もう少し,副詞,18
始め,名詞,18
中心,名詞,18
重き,名詞,18
だんだん,副詞,18
やがて,副詞,18
相,接頭詞,18
ぼう,名詞,18
変,名詞,18
故に,接続詞,18
それほど,副詞,18
絵,名詞,18
前後,名詞,18
悲劇,名詞,18
むしろ,副詞,18
合う,動詞,18
旨い,形容詞,18
こちら,名詞,18
発達,名詞,18
これから,副詞,18
気がつく,動詞,18
骨,名詞,18
新しい,形容詞,18
すなわち,接続詞,18
朝,名詞,18
さしつかえる,動詞,18
消える,動詞,18
一生,名詞,18
共,名詞,18
果,名詞,18
酒,名詞,18
根,名詞,18
一致,名詞,18
濃い,形容詞,18
批判,名詞,18
とうてい,副詞,18
わざわざ,副詞,18
枚,名詞,18
鼻,名詞,18
割,名詞,18
明,名詞,18
こむ,動詞,18
狭い,形容詞,18
なに,名詞,18
部分,名詞,18
歩,名詞,18
光,名詞,18
議論,名詞,17
必ず,副詞,17
長,名詞,17
駄目,名詞,17
筈,名詞,17
娘,名詞,17
一方,名詞,17
左,名詞,17
種類,名詞,17
きく,動詞,17
かかわる,動詞,17
その後,名詞,17
地,名詞,17
当然,副詞,17
電車,名詞,17
代表,名詞,17
角,名詞,17
半分,名詞,17
ひく,動詞,17
開く,動詞,17
小生,名詞,17
語,名詞,17
病気,名詞,17
捨てる,動詞,17
髯,名詞,17
背景,名詞,17
ろう,名詞,17
学生,名詞,17
そ,名詞,17
芸者,名詞,17
懸る,動詞,17
愉快,名詞,17
穴,名詞,17
木,名詞,17
何ら,副詞,17
浮く,動詞,17
観,名詞,17
何故,副詞,17
しまいに,副詞,17
時代,名詞,17
型,名詞,17
唯,副詞,17
専門,名詞,17
ありがたい,形容詞,17
患者,名詞,17
新,名詞,17
ちょう,名詞,17
病人,名詞,17
際,名詞,17
わ,名詞,17
如何,副詞,17
別,名詞,17
あまり,副詞,17
教授,名詞,17
返る,動詞,17
信じる,動詞,17
余裕,名詞,17
用いる,動詞,16
判然,名詞,16
交際,名詞,16
定める,動詞,16
すこぶる,副詞,16
戸,名詞,16
せっかく,副詞,16
得意,名詞,16
落す,動詞,16
腹,名詞,16
述作,名詞,16
低い,形容詞,16
発見,名詞,16
答,名詞,16
かく,副詞,16
返事,名詞,16
現象,名詞,16
過,接頭詞,16
わずか,副詞,16
行う,動詞,16
構う,動詞,16
なつ,名詞,16
本位,名詞,16
元日,名詞,16
陥る,動詞,16
いかに,副詞,16
わけ,名詞,16
巻,名詞,16
進歩,名詞,16
大きい,形容詞,16
執る,動詞,16
主張,名詞,16
自覚,名詞,16
挙,名詞,16
美術,名詞,16
東,名詞,16
現に,副詞,16
活動,名詞,16
やっぱり,副詞,16
きまる,動詞,16
比較,名詞,16
輪廓,名詞,16
張る,動詞,16
旨,名詞,16
振る,動詞,16
軽蔑,名詞,16
うれしい,形容詞,16
向く,動詞,16
随分,副詞,16
ごと,名詞,16
すい,形容詞,16
花袋,名詞,16
へる,動詞,16
大切,名詞,16
とても,副詞,16
銭,名詞,16
貴方,名詞,16
どっち,名詞,16
たった,副詞,16
及び,接続詞,16
倫敦,名詞,16
現,接頭詞,16
活力,名詞,16
吾輩,名詞,16
違い,名詞,16
応用,名詞,16
おかしい,形容詞,16
すき,名詞,16
山嵐,名詞,16
着物,名詞,16
当人,名詞,16
反対,名詞,16
暇,名詞,16
会う,動詞,16
まじめ,名詞,16
主人公,名詞,16
細君,名詞,16
鳴る,動詞,15
歩く,動詞,15
現代,名詞,15
坐る,動詞,15
どうか,副詞,15
用,名詞,15
よほど,副詞,15
ああ,副詞,15
之,名詞,15
流れる,動詞,15
決心,名詞,15
彼女,名詞,15
運動,名詞,15
通う,動詞,15
性格,名詞,15
癖,名詞,15
損,名詞,15
がたい,形容詞,15
いろいろ,名詞,15
疑う,動詞,15
草,名詞,15
むやみ,名詞,15
野,名詞,15
走る,動詞,15
狸,名詞,15
しん,名詞,15
以来,名詞,15
回,名詞,15
理由,名詞,15
いつも,副詞,15
かい,名詞,15
都合,名詞,15
予科,名詞,15
艇,名詞,15
朝日,名詞,15
比べる,動詞,15
隣,名詞,15
いふ,動詞,15
又は,接続詞,15
男子,名詞,15
文士,名詞,15
利く,動詞,15
張,名詞,15
における,助詞,15
はん,名詞,15
悲しい,形容詞,15
月給,名詞,15
いくら,名詞,15
論,名詞,15
うい,形容詞,15
髪,名詞,15
級,名詞,15
残す,動詞,15
衣,名詞,15
少い,形容詞,15
ども,助詞,15
青い,形容詞,15
続く,動詞,15
宜,副詞,15
廻る,動詞,15
その他,名詞,15
観念,名詞,15
非難,名詞,15
心得る,動詞,15
いかん,名詞,15
甲,名詞,15
有する,動詞,15
命,名詞,15
がい,名詞,15
殺す,動詞,15
聴く,動詞,15
大分,名詞,15
響く,動詞,14
変人,名詞,14
だす,動詞,14
ぐらい,助詞,14
やむ,動詞,14
三重吉,名詞,14
道,名詞,14
實,名詞,14
観察,名詞,14
飲む,動詞,14
いよいよ,副詞,14
落ちつく,動詞,14
にとって,助詞,14
石,名詞,14
雲,名詞,14
劇,名詞,14
正直,名詞,14
近頃,名詞,14
さま,名詞,14
派,名詞,14
生涯,名詞,14
下女,名詞,14
床,名詞,14
恐ろしい,形容詞,14
せつ,名詞,14
太,名詞,14
本当,名詞,14
きり,名詞,14
求める,動詞,14
合せる,動詞,14
全体,名詞,14
たとい,副詞,14
母さん,名詞,14
あいさつ,名詞,14
重い,形容詞,14
切れる,動詞,14
むく,動詞,14
病院,名詞,14
入,接頭詞,14
品,名詞,14
にて,助詞,14
教える,動詞,14
あたり,名詞,14
ごうも,副詞,14
依頼,名詞,14
弁解,名詞,14
ゆえ,名詞,14
鈴木,名詞,14
姿,名詞,14
結構,名詞,14
青年,名詞,14
統一,名詞,14
可,名詞,14
ながめる,動詞,14
個,名詞,14
本郷,名詞,14
きっと,副詞,14
何とか,副詞,14
細い,形容詞,14
視る,動詞,14
おのれ,名詞,14
天然,名詞,14
客,名詞,14
おい,名詞,14
ゆく,動詞,14
下宿,名詞,14
最初,名詞,14
只,副詞,14
相手,名詞,14
出来,名詞,14
烏,名詞,14
菊,名詞,14
有す,動詞,14
途中,名詞,14
秋,名詞,14
互に,副詞,14
下りる,動詞,14
宅,名詞,14
船,名詞,14
きん,名詞,14
嬢,名詞,14
カ月,名詞,13
遊ぶ,動詞,13
玄関,名詞,13
意義,名詞,13
客観,名詞,13
理解,名詞,13
かねる,動詞,13
感情,名詞,13
庭,名詞,13
向,接頭詞,13
ぜんざい,名詞,13
尋ねる,動詞,13
好む,動詞,13
学位,名詞,13
喜劇,名詞,13
掛ける,動詞,13
実現,名詞,13
坊っちゃん,名詞,13
恐る,動詞,13
古い,形容詞,13
逢う,動詞,13
ペリカン,名詞,13
新,接頭詞,13
薄い,形容詞,13
便利,名詞,13
飛び込む,動詞,13
因果,名詞,13
優劣,名詞,13
ああ,感動詞,13
苦,名詞,13
出立,名詞,13
身体,名詞,13
それで,接続詞,13
とにかく,副詞,13
部屋,名詞,13
学,名詞,13
書斎,名詞,13
堪る,動詞,13
擦る,動詞,13
美しい,形容詞,13
ますます,副詞,13
なれる,動詞,13
傾向,名詞,13
経過,名詞,13
箸,名詞,13
飛ぶ,動詞,13
大事,名詞,13
病,名詞,13
むずかしい,形容詞,13
火,名詞,13
周囲,名詞,13
不愉快,名詞,13
常に,副詞,13
おろす,動詞,13
形式,名詞,13
紙,名詞,13
しき,名詞,13
表,名詞,13
謂,名詞,13
糸,名詞,13
くわしい,形容詞,13
否,名詞,13
試験,名詞,13
うる,動詞,13
可,接頭詞,13
おう,動詞,13
こうむる,動詞,13
載る,動詞,13
成,名詞,13
貰,名詞,13
くつ,名詞,13
極めて,副詞,13
どちら,名詞,13
犬,名詞,13
椅子,名詞,13
ふと,副詞,13
午後,名詞,13
なんて,助詞,13
質問,名詞,13
講演,名詞,13
科,名詞,13
学舎,名詞,13
附,名詞,13
疑る,動詞,13
心配,名詞,13
平気,名詞,13
余地,名詞,13
好,接頭詞,13
しも,助詞,13
大抵,名詞,13
籠,名詞,13
空気,名詞,13
黒,名詞,13
や,助動詞,12
座敷,名詞,12
ちっとも,副詞,12
発揮,名詞,12
形,名詞,12
ずっと,副詞,12
踏む,動詞,12
約,接頭詞,12
刺激,名詞,12
翁,名詞,12
兎,名詞,12
いたずら,名詞,12
軒,名詞,12
被,接頭詞,12
右,名詞,12
迎える,動詞,12
學,名詞,12
わら,名詞,12
保護,名詞,12
もっとも,名詞,12
考へる,動詞,12
虫,名詞,12
遊び,名詞,12
合,名詞,12
森,名詞,12
罹る,動詞,12
笑,名詞,12
しかる,動詞,12
遍,名詞,12
なお,接続詞,12
失う,動詞,12
夏目,名詞,12
昨日,名詞,12
小さい,形容詞,12
嬉,名詞,12
猶,副詞,12
ペン,名詞,12
西,名詞,12
かう,動詞,12
たって,助詞,12
平たい,形容詞,12
渡す,動詞,12
積,名詞,12
がん,名詞,12
意志,名詞,12
起きる,動詞,12
息,名詞,12
微,接頭詞,12
大体,名詞,12
いむ,動詞,12
枝,名詞,12
障子,名詞,12
今朝,名詞,12
でる,動詞,12
一部,名詞,12
誤解,名詞,12
襟,名詞,12
宿,名詞,12
正則,名詞,12
シャツ,名詞,12
腰,名詞,12
元来,名詞,12
るる,副詞,12
黄,名詞,12
情緒,名詞,12
文部省,名詞,12
当る,動詞,12
しく,動詞,12
漸,副詞,12
隠す,動詞,12
有様,名詞,12
押す,動詞,12
触れる,動詞,12
あう,動詞,12
甕,名詞,12
なるほど,感動詞,12
つまらない,形容詞,12
公平,名詞,12
未,接頭詞,12
微笑,名詞,12
さく,名詞,12
失敗,名詞,12
スロット,名詞,12
たしか,名詞,12
すむ,動詞,12
わるい,形容詞,12
歌,名詞,12
そば,名詞,12
わたし,名詞,12
端,名詞,12
ラン,名詞,12
やつ,名詞,12
み,接頭詞,12
勘定,名詞,12
到底,副詞,12
是非,名詞,12
講義,名詞,12
大いに,副詞,12
あすこ,名詞,12
要吉,名詞,12
づらい,形容詞,12
居,名詞,12
がた,名詞,12
刻,名詞,12
倫理,名詞,12
流す,動詞,12
とくに,副詞,12
連れる,動詞,12
自信,名詞,12
材料,名詞,12
袋,名詞,12
尻,名詞,12
わざと,副詞,12
折れる,動詞,12
冬,名詞,12
感服,名詞,12
恋,名詞,12
洩る,動詞,12
音楽,名詞,11
いずれ,名詞,11
勇気,名詞,11
済まない,形容詞,11
乃木,名詞,11
旅行,名詞,11
輪,名詞,11
賛成,名詞,11
たたく,動詞,11
清,名詞,11
報酬,名詞,11
案内,名詞,11
付ける,動詞,11
現われる,動詞,11
さ,副詞,11
物質,名詞,11
なお,副詞,11
調和,名詞,11
鳴く,動詞,11
中佐,名詞,11
結論,名詞,11
挙げる,動詞,11
末,名詞,11
のち,名詞,11
依然として,副詞,11
まえる,動詞,11
善,名詞,11
沈む,動詞,11
露子,名詞,11
といった,助詞,11
足りる,動詞,11
友人,名詞,11
積む,動詞,11
凡て,名詞,11
ずいぶん,副詞,11
なり,名詞,11
けれど,助詞,11
ずつ,助詞,11
まずい,形容詞,11
世紀,名詞,11
