token,pos,frequency
兄さん,名詞,64
うまい,形容詞,64
おい,感動詞,63
うつ,動詞,63
黄いろ,名詞,62
しら,名詞,62
いたす,動詞,62
まっすぐ,副詞,62
童子,名詞,62
燃える,動詞,62
しかし,接続詞,62
あかり,名詞,62
柏,名詞,61
ぜ,助詞,61
わら,名詞,61
一寸,副詞,61
よろしい,形容詞,61
子,名詞,61
だめ,名詞,61
遠く,名詞,61
聞える,動詞,60
小さい,形容詞,60
校長,名詞,60
生徒,名詞,60
ふく,動詞,60
下さる,動詞,60
度,名詞,60
すき,名詞,60
新,名詞,60
さけぶ,動詞,60
豚,名詞,59
芸術,名詞,59
狸,名詞,59
きり,名詞,59
影,名詞,59
猫,名詞,59
ごと,名詞,59
申す,動詞,59
朝,名詞,59
なり,助動詞,59
つくる,動詞,58
大尉,名詞,58
こんど,名詞,58
シャツ,名詞,58
車,名詞,58
嘉,名詞,58
小,接頭詞,57
あるく,動詞,57
夫,名詞,57
半分,名詞,57
いや,名詞,57
くらい,助詞,57
みな,名詞,57
全く,副詞,56
しん,名詞,56
葡萄,名詞,56
色,名詞,56
にげる,動詞,56
者,名詞,56
分,名詞,56
穴,名詞,56
夢,名詞,56
耳,名詞,56
農民,名詞,55
いよいよ,副詞,55
困る,動詞,55
かう,動詞,55
南,名詞,55
お母さん,名詞,55
くい,形容詞,55
首,名詞,55
かい,名詞,55
ねこ,名詞,55
どの,連体詞,55
こいつ,名詞,55
参る,動詞,55
どうして,副詞,55
一郎,名詞,55
小書き,名詞,55
かげ,名詞,55
おまえ,名詞,55
さよなら,感動詞,54
海,名詞,54
晩,名詞,54
歌,名詞,54
こい,形容詞,54
長,名詞,53
はり,名詞,53
ある,連体詞,53
なみ,名詞,53
しか,助詞,53
かすか,名詞,52
いちばん,名詞,52
服,名詞,52
飛,名詞,52
行,名詞,52
あれ,名詞,52
す,名詞,52
やく,動詞,52
や,助動詞,51
たしかに,副詞,51
答える,動詞,51
はく,動詞,51
野,名詞,51
怒る,動詞,51
二つ,名詞,51
あした,名詞,51
はあ,感動詞,51
消える,動詞,51
だれ,名詞,51
まつ,動詞,51
きのこ,名詞,50
位,名詞,50
やめる,動詞,50
なぜ,副詞,50
千,名詞,50
る,助動詞,50
いや,接続詞,50
近く,名詞,49
大丈夫,名詞,49
いつも,副詞,49
しずか,名詞,49
せい,名詞,49
丁度,副詞,49
べし,助動詞,49
ひかり,名詞,49
銀,名詞,49
ゆ,名詞,48
あし,名詞,48
白,名詞,48
とまる,動詞,48
かも,助詞,48
理助,名詞,48
夏,名詞,48
くださる,動詞,48
牛,名詞,48
実,名詞,47
遠い,形容詞,47
すこし,副詞,47
強い,形容詞,47
つぶ,名詞,47
兵隊,名詞,47
もと,名詞,47
づく,動詞,47
急,名詞,47
そ,名詞,47
髪,名詞,47
おりる,動詞,47
役人,名詞,47
でん,副詞,47
ほど,助詞,47
どんな,連体詞,47
一生けん命,名詞,47
ちょうど,副詞,46
毎日,名詞,46
どうしても,副詞,46
これから,副詞,46
あう,動詞,46
ばら,名詞,46
犬,名詞,46
のに,助詞,46
金,名詞,46
ぼんやり,副詞,46
吹く,動詞,46
寒い,形容詞,45
でる,動詞,45
ふむ,動詞,45
世界,名詞,45
心,名詞,45
うすい,形容詞,45
なん,名詞,45
睡る,動詞,45
殺す,動詞,45
たずねる,動詞,44
ぴき,名詞,44
どる,動詞,44
粟,名詞,44
あんな,連体詞,44
なんか,助詞,44
樺の木,名詞,44
こそ,助詞,44
おや,感動詞,44
まっ白,名詞,44
まま,名詞,44
立ちあがる,動詞,44
たれる,動詞,44
ぶる,動詞,44
ほか,名詞,44
深い,形容詞,43
ちゃ,助詞,43
さがす,動詞,43
ガラス,名詞,43
はか,名詞,43
いかにも,副詞,43
捕る,動詞,43
心配,名詞,43
呑む,動詞,42
戸,名詞,42
低い,形容詞,42
青じろい,形容詞,42
進む,動詞,42
くら,名詞,42
君,名詞,42
食う,動詞,42
まん中,名詞,42
あちこち,名詞,42
脚,名詞,42
北,名詞,42
こわい,形容詞,41
苔,名詞,41
どうか,副詞,41
ぐらい,助詞,41
はっきり,副詞,41
網,名詞,41
円い,形容詞,41
ずいぶん,副詞,41
肩,名詞,41
広場,名詞,41
美しい,形容詞,41
おっかさん,名詞,41
つらい,形容詞,41
かん,名詞,41
言,名詞,41
ど,接頭詞,41
鹿,名詞,41
み,接頭詞,41
俺,名詞,41
かむ,動詞,41
秋,名詞,41
なに,名詞,41
女,名詞,40
兎,名詞,40
合,名詞,40
汗,名詞,40
とにかく,副詞,40
きれる,動詞,40
あわてる,動詞,40
萱,名詞,40
くり,名詞,40
ける,動詞,40
稲,名詞,40
引く,動詞,40
ふう,名詞,40
毛,名詞,40
そこで,接続詞,40
様,名詞,40
けむる,動詞,40
扉,名詞,39
うた,名詞,39
倒れる,動詞,39
わし,名詞,39
岸,名詞,39
あく,動詞,39
さき,名詞,39
たま,名詞,39
きつね,名詞,39
おもしろい,形容詞,39
灰,名詞,39
きょう,名詞,39
とぶ,動詞,39
天井,名詞,39
うん,フィラー,39
まわる,動詞,39
実は,接続詞,39
える,動詞,39
さえ,助詞,38
右,名詞,38
せき,名詞,38
さ,副詞,38
パチ,副詞,38
両手,名詞,38
ずつ,助詞,38
しづか,名詞,38
めがね,名詞,38
立てる,動詞,38
沢山,副詞,38
しむ,動詞,38
三郎,名詞,38
太陽,名詞,38
座る,動詞,38
つかむ,動詞,38
下る,動詞,38
春,名詞,38
呉れる,動詞,38
松,名詞,38
時計,名詞,38
ゆれる,動詞,38
い,名詞,37
獅子,名詞,37
身,名詞,37
行う,動詞,37
何だか,副詞,37
諸君,名詞,37
長い,形容詞,37
たけ,名詞,37
猿,名詞,37
蟹,名詞,37
はい,感動詞,37
ごらん,名詞,37
呉,名詞,37
さびしい,形容詞,37
つと,副詞,37
よる,動詞,37
込,名詞,37
ことば,名詞,37
なり,助詞,37
知れる,動詞,37
そんなに,副詞,37
平太,名詞,37
あすこ,名詞,37
すべて,名詞,37
助,名詞,37
鼻,名詞,37
緑,名詞,37
辺,名詞,37
百姓,名詞,37
空気,名詞,37
恭一,名詞,36
そん,名詞,36
そっと,副詞,36
きみ,名詞,36
ふるえる,動詞,36
ゼロ,名詞,36
冷たい,形容詞,36
ながれる,動詞,36
母,名詞,36
うごく,動詞,36
茶,名詞,36
ふく,名詞,35
はげしい,形容詞,35
なかなか,副詞,35
村,名詞,35
返事,名詞,35
昨日,名詞,35
おもう,動詞,35
箱,名詞,35
物,名詞,35
あたし,名詞,35
なり,名詞,35
ふり,名詞,35
ファ,名詞,35
うれしい,形容詞,35
いっぱい,名詞,35
しかた,名詞,35
それから,接続詞,35
じゅう,名詞,35
細い,形容詞,35
河原,名詞,35
うそ,名詞,35
そば,名詞,35
蟻,名詞,35
つぶやく,動詞,35
ありがたい,形容詞,35
枚,名詞,35
過ぎる,動詞,35
場,名詞,34
もちろん,副詞,34
今夜,名詞,34
汝,名詞,34
善,名詞,34
なぐ,動詞,34
かた,名詞,34
みなさん,名詞,34
今朝,名詞,34
淵,名詞,34
変る,動詞,34
杯,名詞,34
腕,名詞,34
いき,名詞,34
うい,形容詞,34
よ,名詞,34
うとい,形容詞,34
かし,名詞,34
鉄,名詞,34
匂,名詞,34
待,名詞,34
がた,名詞,34
ひかる,動詞,34
籠,名詞,34
ちゃんと,副詞,34
氷,名詞,33
だり,助詞,33
食べる,動詞,33
道,名詞,33
字,名詞,33
話,名詞,33
ひき,名詞,33
ひく,動詞,33
おくれる,動詞,33
間もなく,副詞,33
工合,名詞,33
掘る,動詞,33
まわり,名詞,33
すきとおる,動詞,33
しゅっこ,名詞,33
たった,副詞,33
ふと,副詞,33
連れる,動詞,33
いっぱい,副詞,33
ます,動詞,33
頬,名詞,32
のむ,動詞,32
わく,動詞,32
のみ,助詞,32
日光,名詞,32
とう,副詞,32
なんだか,副詞,32
はじ,名詞,32
うたう,動詞,32
名,名詞,32
まっ黒,名詞,32
らい,名詞,32
おどろく,動詞,32
馬鹿,名詞,32
平仮名,名詞,32
ぼんやり,名詞,32
かれる,動詞,32
稜,名詞,32
とても,副詞,32
生える,動詞,32
梢,名詞,32
ばか,名詞,32
安心,名詞,31
ただ,名詞,31
たたく,動詞,31
入口,名詞,31
あぶない,形容詞,31
まい,助動詞,31
そいつ,名詞,31
語,名詞,31
薬,名詞,31
奥,名詞,31
靴,名詞,31
ついて行く,動詞,31
あやしい,形容詞,31
かくれる,動詞,31
かぶる,動詞,31
不思議,名詞,31
馬車,名詞,31
王様,名詞,31
ばん,名詞,31
寝る,動詞,31
砂,名詞,31
冬,名詞,31
尖る,動詞,31
さけ,名詞,30
耕平,名詞,30
一疋,名詞,30
電気,名詞,30
古い,形容詞,30
おら,名詞,30
非常,名詞,30
ごろ,名詞,30
ぬれる,動詞,30
どなる,動詞,30
はるか,名詞,30
じゃ,接続詞,30
針,名詞,30
昔,名詞,30
すむ,動詞,30
円,名詞,30
ごく,副詞,30
木霊,名詞,30
切る,動詞,30
かがやく,動詞,30
だの,助詞,30
じつに,副詞,30
さて,接続詞,30
まもなく,副詞,29
歌う,動詞,29
はつ,名詞,29
つた,名詞,29
おまけ,名詞,29
落す,動詞,29
泡,名詞,29
答,名詞,29
狼,名詞,29
とれる,動詞,29
助手,名詞,29
とめる,動詞,29
黙る,動詞,29
痛い,形容詞,29
起きる,動詞,29
読む,動詞,29
ひま,名詞,29
仲間,名詞,29
かたち,名詞,29
青白い,形容詞,29
着く,動詞,29
電,名詞,29
もち,名詞,29
きらきら,副詞,29
数,名詞,29
ちらちら,副詞,29
動く,動詞,29
はず,名詞,29
わ,名詞,29
毒,名詞,29
たてる,動詞,29
がい,名詞,29
かや,名詞,29
安,名詞,28
いろいろ,副詞,28
亮二,名詞,28
なくなる,動詞,28
瓶,名詞,28
皮,名詞,28
鳴らす,動詞,28
決して,副詞,28
地,名詞,28
ぼう,名詞,28
しめる,動詞,28
梟,名詞,28
こら,感動詞,28
監督,名詞,28
ひらく,動詞,28
夕方,名詞,28
なるほど,感動詞,28
もし,副詞,28
ねる,動詞,28
ばたばた,副詞,28
起す,動詞,28
ふん,名詞,28
ならぶ,動詞,28
ひろげる,動詞,28
めぐる,動詞,28
諒,名詞,28
居,名詞,28
えらい,形容詞,28
教室,名詞,27
ありがとう,感動詞,27
やむ,動詞,27
一番,名詞,27
ほしい,形容詞,27
鉛筆,名詞,27
はなし,名詞,27
紳士,名詞,27
組む,動詞,27
鳴く,動詞,27
時間,名詞,27
利,名詞,27
それでは,接続詞,27
ぐるぐる,副詞,27
路,名詞,27
気の毒,名詞,27
おこる,動詞,27
ひのき,名詞,27
上着,名詞,27
がん,名詞,27
がけ,名詞,27
投げる,動詞,27
おじいさん,名詞,27
面白い,形容詞,27
がら,名詞,27
三つ,名詞,27
教える,動詞,27
おろす,動詞,27
紙,名詞,27
器械,名詞,27
得る,動詞,27
す,動詞,27
丁度,名詞,27
あいつ,名詞,27
改,名詞,27
わが,連体詞,27
泳ぐ,動詞,27
礼,名詞,27
下りる,動詞,27
おいで,名詞,27
らん,名詞,26
んで,助詞,26
棒,名詞,26
のぞく,動詞,26
陳,名詞,26
恐る,動詞,26
たびたび,副詞,26
藁,名詞,26
やはり,副詞,26
砂利,名詞,26
逃げる,動詞,26
やら,助詞,26
席,名詞,26
ツン,副詞,26
ゆっくり,副詞,26
えい,名詞,26
事,名詞,26
万,名詞,26
子ども,名詞,26
どんぐり,名詞,26
つかれる,動詞,26
持,名詞,26
太い,形容詞,26
ぎん,名詞,26
もらう,動詞,26
わたる,動詞,26
ごとし,助動詞,26
おお,感動詞,25
粒,名詞,25
腹,名詞,25
標本,名詞,25
だま,名詞,25
ぎらぎら,副詞,25
一目散,名詞,25
あらゆる,連体詞,25
今年,名詞,25
はじめて,副詞,25
たん,名詞,25
もる,動詞,25
思わず,副詞,25
天気,名詞,25
病気,名詞,25
もどる,動詞,25
ゆめ,副詞,25
かなしい,形容詞,25
しく,動詞,25
おしまい,名詞,25
つかる,動詞,25
買う,動詞,25
よろよろ,副詞,25
涙,名詞,25
畜生,名詞,25
帽子,名詞,25
一向,副詞,25
幾,名詞,25
医者,名詞,25
すく,動詞,25
ふち,名詞,25
法,名詞,25
ちょう,名詞,25
歯,名詞,25
たちまち,副詞,25
直す,動詞,25
うつくしい,形容詞,25
両方,名詞,25
挨拶,名詞,25
ぶつ,動詞,24
吉,名詞,24
みたい,名詞,24
ふう,動詞,24
げん,名詞,24
雷,名詞,24
りき,名詞,24
ひばり,名詞,24
沢山,名詞,24
くるくる,副詞,24
まねく,動詞,24
話す,動詞,24
たって,助詞,24
降りる,動詞,24
しいんと,副詞,24
おちる,動詞,24
囲む,動詞,24
黄,名詞,24
ずんずん,副詞,24
地面,名詞,24
ちらっと,副詞,24
にて,助詞,24
清夫,名詞,24
むら,名詞,24
がたがた,副詞,24
一度,副詞,24
上流,名詞,24
きもの,名詞,24
貰,名詞,24
わるい,形容詞,24
あっち,名詞,24
ども,助詞,24
国,名詞,24
記号,名詞,24
唇,名詞,24
笛,名詞,24
鏡,名詞,24
なんにも,副詞,24
こす,動詞,24
まったく,副詞,24
着物,名詞,24
泥,名詞,24
りょう,名詞,24
木の下,名詞,24
うつる,動詞,23
さます,動詞,23
すぎ,名詞,23
一ぱい,名詞,23
しっかり,副詞,23
どく,動詞,23
のせる,動詞,23
まあ,フィラー,23
左,名詞,23
ふるふ,動詞,23
けれども,接続詞,23
過,接頭詞,23
今晩,名詞,23
貝,名詞,23
艦隊,名詞,23
かくす,動詞,23
いさむ,動詞,23
こんなに,副詞,23
滝,名詞,23
全体,名詞,23
らく,名詞,23
なれる,動詞,23
かに,名詞,23
垂れる,動詞,23
樺,名詞,23
振る,動詞,23
すべる,動詞,23
露,名詞,23
紺,名詞,23
あな,名詞,23
主人,名詞,23
たまる,動詞,23
おおい,形容詞,23
ちがう,動詞,23
たしか,名詞,23
ママ,名詞,23
おじぎ,名詞,23
りっぱ,名詞,23
おいら,名詞,23
面,名詞,23
許す,動詞,23
まわす,動詞,23
橋,名詞,23
苹果,名詞,23
つれる,動詞,23
板,名詞,23
去年,名詞,23
片,名詞,22
人間,名詞,22
吐く,動詞,22
途方,名詞,22
旅,名詞,22
やがて,副詞,22
いろいろ,名詞,22
そる,動詞,22
じいさん,名詞,22
竜,名詞,22
もてる,動詞,22
名前,名詞,22
あかるい,形容詞,22
鷹,名詞,22
はし,名詞,22
きまる,動詞,22
多い,形容詞,22
学士,名詞,22
おもい,形容詞,22
ほり,名詞,22
まつ,名詞,22
たび,名詞,22
玉,名詞,22
翔,名詞,22
そしたら,接続詞,22
とがる,動詞,22
たおれる,動詞,22
ながめる,動詞,22
平ら,名詞,22
うる,動詞,22
りん,副詞,22
こする,動詞,22
谷,名詞,22
どっち,名詞,22
共,名詞,22
すばやい,形容詞,22
仲,名詞,22
おかしい,形容詞,22
ポ,名詞,22
平二,名詞,22
今,接頭詞,22
ちの,名詞,22
ぶるぶる,副詞,22
線路,名詞,22
セロ,名詞,21
宝石,名詞,21
洞,名詞,21
弱い,形容詞,21
生きる,動詞,21
だます,動詞,21
娘,名詞,21
同じ,連体詞,21
承知,名詞,21
海岸,名詞,21
うせる,動詞,21
門,名詞,21
富沢,名詞,21
晴れる,動詞,21
いや,感動詞,21
開く,動詞,21
いむ,動詞,21
すずめ,名詞,21
団子,名詞,21
呼ぶ,動詞,21
勉強,名詞,21
るる,副詞,21
手帳,名詞,21
まげる,動詞,21
たいへん,副詞,21
指,名詞,21
みじかい,形容詞,21
くつ,名詞,21
銭,名詞,21
刀,名詞,21
月光,名詞,21
わな,名詞,21
ふか,名詞,21
きちんと,副詞,21
氏,名詞,21
かりる,動詞,21
しも,助詞,21
くさい,形容詞,21
ひだ,名詞,21
ふん,感動詞,21
見合せる,動詞,21
火山,名詞,21
のばす,動詞,21
右手,名詞,21
河,名詞,21
ぬぐ,動詞,21
額,名詞,20
遊ぶ,動詞,20
返す,動詞,20
ひな,名詞,20
ま,感動詞,20
くぐる,動詞,20
忘れる,動詞,20
等,名詞,20
為,名詞,20
集,名詞,20
作る,動詞,20
柱,名詞,20
うず,名詞,20
天子,名詞,20
崩れる,動詞,20
さく,動詞,20
丈,名詞,20
升,名詞,20
しきりに,副詞,20
ねむる,動詞,20
いくら,副詞,20
こける,動詞,20
豆,名詞,20
弟,名詞,20
ぽい,形容詞,20
銀河,名詞,20
座す,動詞,20
給,名詞,20
虹,名詞,20
いそぐ,動詞,20
かじる,動詞,20
荷物,名詞,20
俵,名詞,20
むかし,名詞,20
しらべる,動詞,20
鉄砲,名詞,20
ざす,動詞,20
もうす,動詞,20
起る,動詞,20
かけ,名詞,20
実際,副詞,20
つき,名詞,20
はく,名詞,20
寸,名詞,20
セ,名詞,20
どんなに,副詞,20
袋,名詞,20
巣,名詞,20
くろい,形容詞,20
じん,名詞,20
ほんの,連体詞,20
ぜんたい,名詞,20
かく,動詞,20
追,接頭詞,20
龍,名詞,20
温泉,名詞,19
番,名詞,19
申,名詞,19
あつい,形容詞,19
金剛石,名詞,19
よほど,副詞,19
無,接頭詞,19
店,名詞,19
相談,名詞,19
けい,名詞,19
まっくろい,形容詞,19
四つ,名詞,19
引っぱる,動詞,19
峯,名詞,19
しれる,動詞,19
仕度,名詞,19
清作,名詞,19
ふたり,名詞,19
恐ろしい,形容詞,19
さげる,動詞,19
角,名詞,19
料理,名詞,19
包む,動詞,19
あいさつ,名詞,19
巻く,動詞,19
会,名詞,19
蓋,名詞,19
送る,動詞,19
のう,助詞,19
ひびく,動詞,19
外套,名詞,19
雫,名詞,19
張る,動詞,19
別当,名詞,19
へや,名詞,19
咲く,動詞,19
どれ,名詞,19
食,名詞,19
後,名詞,19
衣,名詞,19
帰り,名詞,19
っす,助動詞,19
何だ,感動詞,19
とく,動詞,19
粘土,名詞,19
こぼす,動詞,19
巡査,名詞,19
続く,動詞,19
美,名詞,19
のど,名詞,19
こん,名詞,19
あせる,動詞,19
これら,名詞,19
奇麗,名詞,19
紫,名詞,19
大,名詞,19
実,接頭詞,19
やみ,名詞,19
号令,名詞,19
尺,名詞,19
矢,名詞,19
油,名詞,19
冷,名詞,19
わざと,副詞,19
まひ,名詞,18
カン,名詞,18
注文,名詞,18
どうせ,副詞,18
もみ,名詞,18
かしわ,名詞,18
斉藤,名詞,18
杜,名詞,18
虫,名詞,18
はやい,形容詞,18
どど,副詞,18
北風,名詞,18
咽喉,名詞,18
使,名詞,18
白熊,名詞,18
だく,動詞,18
さら,名詞,18
すかす,動詞,18
羽,名詞,18
助,接頭詞,18
出来る,動詞,18
握る,動詞,18
コップ,名詞,18
肉,名詞,18
つづける,動詞,18
おいおい,副詞,18
踊,名詞,18
運ぶ,動詞,18
せわしい,形容詞,18
ざわざわ,名詞,18
鼠,名詞,18
立ちどまる,動詞,18
大力,名詞,18
かわる,動詞,18
教師,名詞,18
かえって,副詞,18
労働,名詞,18
壁,名詞,18
一体,副詞,18
田,名詞,18
けら,名詞,18
蘆,名詞,18
動かす,動詞,18
りゅう,名詞,18
ゆく,動詞,18
正しい,形容詞,18
噛む,動詞,18
きゅう,名詞,18
黄色,名詞,18
くさる,動詞,18
あてる,動詞,18
せん,名詞,18
くちびる,名詞,18
途中,名詞,18
かま,名詞,18
つめる,動詞,18
帰,名詞,18
返る,動詞,18
さっと,副詞,18
訳,名詞,18
しろい,形容詞,18
つぶる,動詞,18
