token,pos,frequency
わたし,名詞,117
合,名詞,116
いちど,名詞,116
読者,名詞,116
苦しい,形容詞,116
涙,名詞,116
車,名詞,116
話す,動詞,116
場,名詞,115
魚,名詞,115
慶,名詞,115
春,名詞,114
肩,名詞,114
ばん,名詞,114
数,名詞,114
連れる,動詞,114
食べる,動詞,113
すこし,副詞,113
なに,名詞,113
はれる,動詞,113
にて,助詞,113
秋,名詞,113
事実,名詞,112
依る,動詞,112
向う,動詞,112
通る,動詞,112
殺す,動詞,112
歌,名詞,112
ごとし,助動詞,112
丈,名詞,112
為,名詞,111
字,名詞,111
すぎる,動詞,111
かん,名詞,111
しかも,接続詞,111
いつか,名詞,111
着物,名詞,111
ちゃんと,副詞,111
いち,名詞,110
文章,名詞,110
今度,名詞,110
黒,名詞,110
分る,動詞,110
青年,名詞,110
まじめ,名詞,110
先,名詞,109
全部,名詞,109
ずつ,助詞,109
象,名詞,109
小屋,名詞,109
す,接頭詞,109
東,名詞,109
たべる,動詞,109
たけ,名詞,108
つつ,助詞,108
だの,助詞,108
影,名詞,108
皆,名詞,107
妹,名詞,107
雑誌,名詞,107
勉強,名詞,107
訳,名詞,107
ぶる,動詞,107
ば,名詞,106
ほとんど,副詞,106
場合,名詞,106
呉れる,動詞,106
大将,名詞,105
このごろ,名詞,105
低い,形容詞,105
まっ,接頭詞,105
致す,動詞,105
はる,動詞,104
鼻,名詞,104
今夜,名詞,104
挨拶,名詞,104
なくなる,動詞,104
諸君,名詞,104
思い出す,動詞,104
怒る,動詞,103
そ,名詞,103
心配,名詞,103
社会,名詞,103
態度,名詞,103
西洋,名詞,102
ひく,動詞,102
半分,名詞,102
相手,名詞,102
庭,名詞,102
少年,名詞,102
れい,名詞,102
たま,名詞,102
わらう,動詞,102
たしかに,副詞,101
動く,動詞,101
猫,名詞,101
讀む,動詞,101
うれしい,形容詞,101
みな,名詞,101
まえる,動詞,100
文,名詞,100
迄,助詞,100
女中,名詞,100
ど,接頭詞,100
辺,名詞,100
めん,名詞,100
じっと,副詞,100
に対して,助詞,100
黄金,名詞,99
原稿,名詞,99
とこ,名詞,99
ぼんやり,副詞,99
や,助動詞,99
